id,text,created_at
1601328018571792384,"As the 🌍 recovers from #COVID19 &amp; responds to many other crises, it's essential to accelerate progress towards #HealthForAll. That’s the best way to keep people healthy, prevent disease and protect societies and economies from the impact of emergencies. #GalienAfrique https://t.co/ASv3nG7piT",2022-12-09T21:28:45.000Z
1601327430933020672,"Remember this $220k vaccine van @monroecounty_ny bought to bring vaccines to people in need?  Well, at the moment it can only bring #COVID19 vaccines to homebound residents not #Flu vaccine.  I’ll explain why at 6 on @news10nbc https://t.co/mRjBB42e1y",2022-12-09T21:26:25.000Z
1601324337747066880,"(2/3) For week of Nov 27 to Dec 3, 2022:#COVID19: there were 1,022 total confirmed cases (↔ from previous week) &amp; 17 institutional outbreaks (⬇ from previous week).#Flu: 517 total confirmed cases (⬇ from previous week) &amp; 11 institutional outbreaks (⬆ from previous week).",2022-12-09T21:14:07.000Z
1601324334567784448,"(1/3) Our Integrated Respiratory Diseases Dashboard, tracking #COVID19, #flu &amp; other respiratory virus activity in TO, has been updated! See the latest data here: https://t.co/37o4RWgEa0 https://t.co/ioVCN0E0WL",2022-12-09T21:14:07.000Z
1601323796425842691,HEADLINE NEWS: Newly released docs have revealed that Twitter not only banned dissenting voices on #Covid19 but also suppressed traffic to disfavored writers. Among those targeted was NCLA client &amp; Stanford prof. @DrJBhattacharya. #TeamReality@nypost: https://t.co/AKih9dkKJC,2022-12-09T21:11:58.000Z
1601321790663495681,The most recent publication of the #COVID19 Treatment Guidelines included revisions to our evidence rating scheme.  See them here: https://t.co/AL5fNG23AY,2022-12-09T21:04:00.000Z
1601321562610835456,"Congratulations to our Joseph Parrillo, M.D. on presenting on #COVID19 and #heart disease to international colleagues at @ACCinTouch #NYCVS. Dr. Parrillo joins HMH researchers who have published hundreds of COVID-19 studies, with extensive focus on heart health and #longCOVID. https://t.co/WVfDH7icmP",2022-12-09T21:03:06.000Z
1601319403475320832,"Don’t miss out on fun this season. Whether you want to make it to a holiday party or hug your older relatives, getting an updated #COVID19 vaccine to defend against Omicron can help keep everyone safer.Find updated vaccines for everyone 5+: https://t.co/2akIUZ14Rd#WeCanDoThis https://t.co/s7Y3cXupvU",2022-12-09T20:54:31.000Z
1601318838997499906,"One Wisconsin county has been moved into the ""high"" level for #COVID19 activity.https://t.co/MmrmyYP94W https://t.co/3Z45SSZNYW",2022-12-09T20:52:16.000Z
1601315383616888832,"Apparently, the baby whose parents delayed urgent surgery because of antivaccine misinformation that led them to oppose blood transfusions from people who had #Covid19 #vaccines had undergone surgery and is doing well, after the court intervened. https://t.co/zDvFqe0QHt",2022-12-09T20:38:33.000Z
1601314957970313216,"Colon cancer screening rates took a major hit during #COVID19. But now, recommendations have altered and tools have advanced.Where do we stand in 2022? Our latest from #ThisYearInMedicine: https://t.co/u5DztLfZnn",2022-12-09T20:36:51.000Z
1601314706052239360,"🇩🇪 How has #COVID19 affected the formation of extremist groups in countries like #Germany?""COVID supercharged the far-right, gave them new recruits and allowed them to infiltrate these anti-vaccination protests."" @borzou explains on #WorldThisWeek ⤵️ https://t.co/8vexnCKQvh",2022-12-09T20:35:51.000Z
1601314536862191617,"Many improvements have been made to U.S. #healthIT systems in recent years, but more is still needed—especially as #COVID19 has illuminated deficiencies in our #publichealth data infrastructure. https://t.co/RtcLhLMkqe",2022-12-09T20:35:11.000Z
1601313292303192065,"BEEP BEEP! The #GOVAXX bus is coming to #GeorgetownON. The mobile vaccine bus will be offering #COVID19 vaccines and booster doses at St. Andrew’s United Church on December 11 from 10 a.m. to 6 p.m. For more information and to book an appt., visit: https://t.co/tcNWmpLwI5 https://t.co/cZ2XG56dPs",2022-12-09T20:30:14.000Z
1601308979908468737,"Influenza vaccination is particularly important to protect vulnerable populations and reduce the burden of respiratory illnesses during #COVID19. If you haven't already, make time to schedule both #flu &amp; COVID vaccines. https://t.co/tzwkVH2IQY",2022-12-09T20:13:06.000Z
1601308479297245185,@MartinKulldorff @DrJBhattacharya @Twitter I'd be a little surprised if you - who also worked hard to increase deaths and harms from #covid19 (with some success) - did not face similar consequences.,2022-12-09T20:11:06.000Z
1601308316994482182,@MartinKulldorff @DrJBhattacharya @Twitter This misrepresents the reasons Dr. Bhattacharya - who has never been suspended off Twitter and has extensive forums in which to spread misinformation designed to cause more deaths and harms from #covid19 - faced consequences. It's because of his efforts to help the virus.,2022-12-09T20:10:28.000Z
1601308199843500032,"The FDA says #Ivermectin is not effective against #COVID19, but links to studies that show it does, an @EpochTimes review found.Half of the studies which the @US_FDA points to on its website support using ivermectin against COVID-19. https://t.co/Mi2ivY4lVo",2022-12-09T20:10:00.000Z
